,original,item,number,answer,lemma,pos,gram,sems,rel
0,Вася любил сгущенку‚ особенно с чаем.,,1,вася,вася,S,"имя,им,ед",,
1,Вася любил сгущенку‚ особенно с чаем.,Вася,2,любил,любить,V,"несов,прош,ед,изъяв,муж","{'любить (нуждаться в условиях)': 'любить (нуждаться в условиях)>нуждаться (испытывать потребность)>пережить, испытать>пребывать в состоянии>отношение между сущностями>', 'любить, испытывать любовь': 'любить, испытывать любовь>пережить, испытать>пребывать в состоянии>отношение между сущностями>', 'нравиться': 'нравиться>прийтись (оказаться соответствующим, подходящим)>соответствие>соотношение>отношение между сущностями>'}","{'любить (нуждаться в условиях)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'любить, испытывать любовь': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'нравиться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['присмотреть (выбрать)'], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
2,Вася любил сгущенку‚ особенно с чаем.,Вася любил,3,сгущенку,сгущенка,S,"жен,вин,ед",{'сгущенное молоко': 'сгущенное молоко>молочные консервы>консервированные продукты>гастрономия>продукты питания>продовольствие>вещество>физическая сущность>постоянная сущность>'},"{'сгущенное молоко': {'antonyms': [], 'domains': ['экономика', 'сельское хозяйство'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
3,Вася любил сгущенку‚ особенно с чаем.,Вася любил сгущенку‚,4,особенно,особенно,ADV,,,
4,Вася любил сгущенку‚ особенно с чаем.,Вася любил сгущенку‚ особенно,5,с,с,PR,,,
5,Вася любил сгущенку‚ особенно с чаем.,Вася любил сгущенку‚ особенно с,6,чаем,чай,S,"муж,твор,ед","{'фиточай': 'фиточай>лечебные формы растений>лекарственная форма>вариант, разновидность>', 'чай (пищевой продукт)': 'чай (пищевой продукт)>пищевкусовые продукты>продукция пищевой промышленности>продукт производства>продукт труда>постоянная сущность>', 'чай (растение)': 'чай (растение)>древесно-кустарниковая порода>древесное растение>растение>живой организм>биологическая сущность>физическая сущность>постоянная сущность>', 'чаепитие': 'чаепитие>есть, принимать пищу>глотать внутрь себя>вобрать в себя>переместить>принудить, заставить>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>', 'чай (напиток)': 'чай (напиток)>безалкогольные напитки>напиток>продукты питания>продовольствие>вещество>физическая сущность>постоянная сущность>'}","{'фиточай': {'antonyms': [], 'domains': ['медицина', 'фармакология'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'чай (пищевой продукт)': {'antonyms': [], 'domains': ['экономика'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['чай (растение)', 'чайный лист', 'чай (напиток)', 'чаепитие']}, 'чай (растение)': {'antonyms': [], 'domains': ['ботаника', 'биология'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['чайный лист', 'чай (пищевой продукт)']}, 'чаепитие': {'antonyms': [], 'domains': ['кулинарное искусство'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['чай (пищевой продукт)']}, 'чай (напиток)': {'antonyms': [], 'domains': ['кулинарное искусство', 'экономика'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['чай (пищевой продукт)']}}"
6,Я увидел осу‚ летавшую вперед и назад по комнате.,,1,я,я,SPRO,"ед,им",,
7,Я увидел осу‚ летавшую вперед и назад по комнате.,Я,2,увидел,увидеть,V,"сов,прош,ед,изъяв,муж","{'усмотреть (счесть, признать существующим)': 'усмотреть (счесть, признать существующим)>заметить, обнаружить>обратить внимание>выделить, отличить от остальных>различить, установить различие>определить, выяснить>узнать, получить сведения>получить в распоряжение>действие, целенаправленное действие>', 'встретить, увидеться': 'встретить, увидеться>приблизиться на расстояние>приблизить на расстояние>уменьшить>изменить, сделать иным>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>', 'заметить, обнаружить': 'заметить, обнаружить>обратить внимание>выделить, отличить от остальных>различить, установить различие>определить, выяснить>узнать, получить сведения>получить в распоряжение>действие, целенаправленное действие>', 'видеть, воспринимать зрением': 'видеть, воспринимать зрением>ощущать, воспринимать>пережить, испытать>пребывать в состоянии>отношение между сущностями>'}","{'усмотреть (счесть, признать существующим)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'встретить, увидеться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': ['видеть, воспринимать зрением'], 'causes': [], 'effects': [], 'related': []}, 'заметить, обнаружить': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['фиксировать на бумаге, изображении'], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'видеть, воспринимать зрением': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['смотреть, направлять взгляд', 'виднеться', 'встретить, увидеться'], 'conclusions': ['видеть, иметь зрение'], 'causes': [], 'effects': [], 'related': []}}"
8,Я увидел осу‚ летавшую вперед и назад по комнате.,Я увидел,3,осу,оса,S,"жен,вин,ед",{'оса': 'оса>насекомое>членистоногое>беспозвоночное животное>животное>живой организм>биологическая сущность>физическая сущность>постоянная сущность>'},"{'оса': {'antonyms': [], 'domains': ['биология', 'зоология'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
9,Я увидел осу‚ летавшую вперед и назад по комнате.,Я увидел осу‚,4,летавшую,летать,V,"несов,прош,вин,ед,прич,полн,жен,действ","{'лететь (передвигаться)': 'лететь (передвигаться)>движение, перемещение>'}","{'лететь (передвигаться)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['улететь (удалиться)', 'планирование в воздухе', 'подлететь (приблизиться)', 'запуск в полет', 'вылететь (появиться)', 'вылететь (отправиться)', 'залететь (летя попасть)', 'залететь ненадолго', 'долететь', 'облететь (побывать)', 'пролететь (миновать)', 'взлететь', 'влететь (проникнуть)', 'сесть, совершить посадку', 'снизиться (спуститься ниже)', 'налетать в общей сложности', 'слетаться (приобрести навык к совместным полетам)'], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
10,Я увидел осу‚ летавшую вперед и назад по комнате.,Я увидел осу‚ летавшую,5,вперед,вперед,ADV,,,
